"muniYear","IM","POB_TOT"
"20131_1993",1.05014668493776,8749
"20012_1993",1.43576273027183,8400
"20483_1993",NA,6616
"20553_1993",-0.167620949638504,5655
"20188_1993",1.14162540584529,7607
"20307_1993",0.428826486580308,8378
"20177_1993",NA,9349
"20016_1993",2.63339836003288,4883
"20545_1993",-0.630351959710419,6929
"20417_1993",0.726995583899014,8772
"20475_1993",0.714009951938751,7960
"20437_1993",1.40818001483696,6981
"20083_1993",-0.588995947573888,3338
"20143_1993",-0.262766311959631,9208
"20295_1993",-0.277889406539026,8284
"20513_1993",0.537220032501258,7751
"20115_1993",-0.420284914632119,3978
"20407_1993",1.70959887728014,6507
"20026_1993",0.709900787770425,7944
"20409_1993",-1.50294149291647,6857
"20348_1993",0.907391673585355,8726
"20185_1993",0.452350999936801,7627
"20441_1993",NA,5474
"20426_1993",2.10156781149454,6593
"20266_1993",1.20272748447591,7873
"20030_1993",-1.56716661621485,7836
"20310_1993",0.393471800421021,2964
"20064_1993",0.340868250936039,8153
"20500_1993",1.21783874327783,7922
"20229_1993",2.10846988887742,4462
"20045_1993",-0.701899579954935,3732
"20042_1993",0.264823786918996,6501
"20275_1993",1.30387261554875,5066
"20505_1993",-0.628909512658737,7855
"20135_1993",0.696875513567238,5661
"20540_1993",-0.745533763812452,5939
"20141_1993",0.167205052697786,4750
"20234_1993",1.49776443408879,6553
"20261_1993",1.12825017511949,5947
"20031_1993",1.52449908222951,5762
"20520_1993",0.305841203844928,6615
"20105_1993",1.3547218824114,5436
"20392_1993",1.98999438584466,7055
"20009_1993",0.549315976882509,5057
"20294_1993",-0.510601768204217,4948
"20498_1993",1.33210222582658,6797
"20070_1993",1.07851987666639,5813
"20178_1993",-0.313353347393598,3326
"20446_1993",0.608221448926836,6536
"20072_1993",0.977186447031046,5279
"20265_1993",1.0272443099897,5879
"20210_1993",1.26603858038809,6169
"20052_1993",NA,6661
"20272_1993",1.28348619605953,4680
"20300_1993",0.943995273094849,4894
"20560_1993",0.234073801492334,5835
"20040_1993",2.03365108300309,5472
"20470_1993",0.499205878286004,5690
"20090_1993",0.799373177545357,5204
"20225_1993",1.59424813860224,4946
"20103_1993",-0.0378480136787525,4602
"20398_1993",0.117582353199497,5822
"20543_1993",1.32092615253975,4818
"20015_1993",1.59731142806784,4651
"20546_1993",0.136149166909042,5230
"20036_1993",0.182069845883432,5537
"20066_1993",NA,5606
"20554_1993",0.944497767550152,5420
"20337_1993",1.44864795358512,5006
"20539_1993",-0.539199828216201,3292
"20502_1993",1.22101140188382,5074
"20550_1993",0.101513362143217,4612
"20159_1993",1.03979500160899,3784
"20460_1993",1.21947090531859,4259
"20091_1993",-1.16595512016831,2830
"20517_1993",1.82159646039601,3233
"20130_1993",0.491259640809994,4360
"20126_1993",1.31072197425365,3759
"20326_1993",1.56714607941942,4216
"20516_1993",1.09543047169978,3972
"20253_1993",1.56364434102182,4624
"20489_1993",1.3665908317038,4644
"20415_1993",0.934954574281433,4557
"20494_1993",2.31716218847636,4509
"20434_1993",1.09719901603453,4007
"20153_1993",0.903600681241855,3447
"20452_1993",0.796690696901041,4660
"20384_1993",1.11572646864036,3560
"20306_1993",1.55799161871062,3644
"20108_1993",0.971849798019999,4495
"20459_1993",-0.255136310890933,4646
"20202_1993",0.986161143466789,3427
"20071_1993",1.15687059472241,3864
"20082_1993",0.970455941652544,4418
"20366_1993",1.42284430401898,4454
"20051_1993",1.28331894218935,3170
"20462_1993",-0.190891239669044,4520
"20421_1993",-0.428572753620628,3723
"20024_1993",1.46832993637644,4269
"20367_1993",1.42839865533598,3865
"20302_1993",1.95352517267038,3387
"20169_1993",1.75616679412667,4037
"20484_1993",0.453860872484625,3532
"20098_1993",1.28531062794022,3958
"20116_1993",1.98017390516734,2930
"20102_1993",-0.510946482966133,2852
"20491_1993",0.785660802469287,2637
"20037_1993",1.33915270599957,3996
"20111_1993",1.72279972142689,3465
"20017_1993",0.981560351242298,4248
"20532_1993",1.40542958477896,4103
"20497_1993",1.35081217212863,2849
"20269_1993",0.451636611049471,4211
"20087_1993",0.155570250526007,2819
"20095_1993",2.09762805165326,3043
"20213_1993",1.68865401794368,3046
"20330_1993",0.877586987020475,3586
"20449_1993",0.646193386642285,4159
"20492_1993",1.42475480475827,4178
"20029_1993",1.90429350678193,3509
"20291_1993",1.12030809268325,3824
"20305_1993",-0.877517985955146,3779
"20534_1993",1.10442163402704,3465
"20046_1993",0.624024283697578,3915
"20424_1993",1.39068759902674,3982
"20345_1993",0.944369106309345,3948
"20339_1993",-0.212636469847407,3548
"20084_1993",-0.98059559092664,2898
"20007_1993",1.29633908666889,3831
"20133_1993",1.74269376191062,3515
"20020_1993",1.21755643646396,2876
"20387_1993",NA,3773
"20200_1993",1.24705673754815,3625
"20174_1993",-0.467155370243293,2418
"20453_1993",NA,2468
"20063_1993",-0.874720321631079,3057
"20393_1993",1.11615037481269,3057
"20145_1993",NA,1473
"20170_1993",1.66661486971635,3396
"20352_1993",2.3335678567262,1743
"20235_1993",1.26175379506035,3793
"20254_1993",1.12951470830525,3709
"20244_1993",0.506602524140205,2878
"20050_1993",1.5322300204322,3071
"20360_1993",1.19991747111871,3439
"20077_1993",-0.11090629388118,2589
"20055_1993",NA,3453
"20347_1993",1.16065241590185,2726
"20285_1993",0.962581387020288,2808
"20410_1993",0.363415609615957,3628
"20164_1993",0.547574781628046,3449
"20530_1993",0.905520049151587,2694
"20378_1993",0.524145719537555,3385
"20249_1993",0.77656978615196,2816
"20511_1993",1.7038215657363,3151
"20076_1993",0.400587394021462,3320
"20176_1993",0.734165181612502,3454
"20286_1993",0.463353323732292,3222
"20161_1993",0.56808857700749,2949
"20495_1993",1.45759921622362,3374
"20435_1993",1.88423019303203,2398
"20013_1993",-0.0413652574724705,3240
"20217_1993",1.89497974080963,3427
"20273_1993",1.48617662948709,3219
"20263_1993",2.06735131261109,2784
"20156_1993",0.298845426825447,3184
"20485_1993",1.39450473047734,3325
"20507_1993",1.05782121974263,3273
"20474_1993",0.473678154717753,3410
"20284_1993",1.2781756290391,3334
"20567_1993",0.731293260862072,3076
"20137_1993",1.5636240371398,3013
"20396_1993",2.04294703214606,3236
"20457_1993",1.58804502918823,2952
"20535_1993",1.78126989257356,2545
"20019_1993",0.695325247629971,3361
"20203_1993",1.78829764163892,2895
"20391_1993",2.2848861514197,2436
"20342_1993",-0.212233136007462,1503
"20472_1993",-0.570424599644813,2845
"20112_1993",0.533188952786965,3091
"20412_1993",0.723955277413101,2538
"20088_1993",1.15498999000355,3237
"20566_1993",1.95913057733535,2879
"20271_1993",1.76831139466494,2065
"20197_1993",0.825531915746477,2882
"20454_1993",1.5140208906594,2391
"20211_1993",1.23877401975037,2915
"20308_1993",0.183129298454609,2331
"20231_1993",1.56457366418222,2529
"20395_1993",2.09722267886438,2680
"20490_1993",1.34072655221437,2427
"20333_1993",-0.0101719818351062,3044
"20481_1993",0.856720469573877,3018
"20358_1993",0.475550688632613,2643
"20220_1993",0.625925442259228,3034
"20555_1993",0.533099708451332,2805
"20123_1993",0.59959486365766,2933
"20351_1993",0.947248721281282,2852
"20113_1993",0.980598043077408,2623
"20519_1993",0.158781212396122,2544
"20403_1993",-0.486222580250114,1234
"20219_1993",0.900354813627269,2955
"20379_1993",1.37699782029368,2558
"20212_1993",2.00100010358439,2116
"20279_1993",1.12395719296994,2617
"20336_1993",1.10718171199939,2700
"20478_1993",0.442307568407054,2771
"20189_1993",1.3831273752786,1987
"20280_1993",-0.323719211842949,2752
"20340_1993",0.0752641086566874,2653
"20027_1993",1.33005398105084,2663
"20527_1993",1.24638082825385,2305
"20075_1993",-0.655142175880402,2676
"20381_1993",NA,2641
"20561_1993",1.15459328653752,1980
"20146_1993",1.89027970390169,1766
"20394_1993",0.393594752151017,2555
"20060_1993",1.27606520912811,2478
"20455_1993",0.478036479041976,2306
"20180_1993",0.401494610344556,2686
"20118_1993",0.884583558382891,2524
"20226_1993",0.430907255927601,2597
"20061_1993",1.51119968231553,2231
"20344_1993",1.21717758788587,2349
"20260_1993",0.412203405200984,2468
"20033_1993",-0.804792019842058,1771
"20363_1993",NA,2341
"20069_1993",1.16459417229138,1773
"20531_1993",0.263132159525479,1994
"20003_1993",1.38519038041731,2591
"20433_1993",1.81247591598983,1599
"20214_1993",0.793972079809295,2466
"20117_1993",1.52077439387522,2222
"20240_1993",1.8918522754873,2042
"20104_1993",1.11853011709839,1977
"20193_1993",-0.0960312609146205,2216
"20206_1993",NA,2504
"20264_1993",2.04400097082895,2331
"20187_1993",1.49479668164646,2191
"20388_1993",1.65483247668594,2131
"20297_1993",1.41219583352378,2263
"20486_1993",0.0113712405136317,2247
"20259_1993",1.27215523095514,2170
"20081_1993",0.52241350167499,2396
"20154_1993",1.08953102910862,2038
"20158_1993",1.76937280885732,1869
"20496_1993",-0.526986221033531,2085
"20237_1993",-0.230472747270156,2226
"20182_1993",1.30474926732489,2057
"20038_1993",0.250052655482778,2260
"20080_1993",0.417653018072048,2024
"20372_1993",1.39255747750806,1987
"20448_1993",1.42114538852235,1186
"20356_1993",0.500278188760407,2176
"20425_1993",1.08242888661667,1894
"20569_1993",1.08558516035479,2117
"20349_1993",0.742775510325158,2192
"20533_1993",0.363419377449852,1649
"20065_1993",0.669955778447545,2090
"20323_1993",1.15839989642076,1756
"20094_1993",1.27530225480917,2103
"20233_1993",0.60632337497687,2115
"20089_1993",0.0501286784317137,2079
"20353_1993",0.885834423429209,1630
"20152_1993",1.32217064740533,1598
"20139_1993",1.90558943105312,1929
"20380_1993",0.401971988060395,1713
"20252_1993",1.56729080323629,1567
"20405_1993",-0.279977973588395,1933
"20167_1993",0.914815698375168,1485
"20499_1993",-0.646357634133808,1686
"20255_1993",1.62227597606687,1808
"20160_1993",NA,1969
"20343_1993",NA,2031
"20487_1993",0.563096325141382,1709
"20148_1993",1.44599814040984,1856
"20097_1993",0.0942887122411704,1916
"20458_1993",0.245650495820182,1837
"20201_1993",0.448209211014043,1755
"20362_1993",0.0104197513305232,1807
"20315_1993",1.04694267253397,1854
"20162_1993",0.906948142147999,1424
"20369_1993",NA,1737
"20368_1993",0.528317615017851,1562
"20428_1993",1.42800726385144,1515
"20270_1993",1.77814408159605,1756
"20431_1993",-0.457279766336759,1810
"20429_1993",1.18111362398926,1789
"20541_1993",-0.209162683791061,1827
"20173_1993",0.255107944582386,1744
"20420_1993",1.27156599994795,976
"20243_1993",0.0319875100903653,1629
"20563_1993",1.22552391983158,1754
"20195_1993",1.46253049224428,1786
"20175_1993",0.828967303299473,1674
"20523_1993",-0.395380222783524,1681
"20163_1993",0.886904783328783,1625
"20504_1993",0.0757288479943685,1694
"20438_1993",1.96837768897453,1490
"20346_1993",0.454548774627862,1648
"20236_1993",1.93845423722315,1741
"20544_1993",-0.18841526201558,1724
"20548_1993",0.676698186353163,1644
"20149_1993",0.746106537595396,1132
"20477_1993",1.66510331614269,1632
"20400_1993",NA,1585
"20558_1993",NA,1662
"20301_1993",0.395643365761774,1701
"20365_1993",NA,1614
"20314_1993",0.487197434682108,1589
"20456_1993",NA,1344
"20222_1993",0.265508143517885,1552
"20473_1993",0.347000835200811,1567
"20445_1993",1.40552829493513,1291
"20142_1993",0.842494113113081,1238
"20245_1993",0.156622932158227,1484
"20317_1993",0.878391573178887,1574
"20034_1993",NA,1424
"20451_1993",1.70492451026088,1431
"20092_1993",0.24332278985601,1449
"20110_1993",2.09599133134641,1241
"20465_1993",1.05334430122103,1162
"20528_1993",0.206155964156182,1592
"20510_1993",0.598153513297015,890
"20568_1993",0.126797689419342,1559
"20562_1993",0.133731540715631,1391
"20179_1993",0.425378039382478,1487
"20247_1993",-0.914799475447899,1397
"20374_1993",1.30440845412114,1036
"20001_1993",1.21516863708664,1122
"20230_1993",NA,1242
"20508_1993",-0.810263160228222,1398
"20165_1993",0.555991459362093,1306
"20183_1993",0.378937345500931,1423
"20194_1993",-0.243592135313683,1365
"20192_1993",-0.709123162402112,1303
"20296_1993",-0.108365002715104,1348
"20128_1993",NA,1345
"20221_1993",0.211134595628551,1418
"20529_1993",1.77857205436367,1250
"20056_1993",0.716923344911841,1411
"20329_1993",1.10742412104702,1373
"20292_1993",1.66329387540478,1312
"20501_1993",0.224943962709699,1349
"20144_1993",0.224974135646033,1309
"20319_1993",0.549360805208557,1287
"20274_1993",1.38077971424718,1337
"20048_1993",1.21423604241406,708
"20062_1993",-0.706165721699822,855
"20241_1993",0.290556573838753,1315
"20109_1993",-0.540162750273314,1300
"20357_1993",0.160700861351181,1218
"20289_1993",0.557611776330325,1285
"20382_1993",1.53009227896787,1279
"20389_1993",1.51722562533247,1329
"20216_1993",0.439770374131534,1156
"20032_1993",0.778170627029101,1130
"20011_1993",0.416800030243533,1260
"20564_1993",1.178,1294
"20303_1993",-0.127029457297484,1297
"20547_1993",NA,1210
"20127_1993",1.88808123538372,1148
"20304_1993",0.851855171101428,1143
"20132_1993",-0.092338623743043,1144
"20262_1993",NA,1211
"20480_1993",1.53546957840915,1115
"20361_1993",0.760398774557244,1006
"20359_1993",-0.173965505470221,1187
"20053_1993",-0.358467035586584,1201
"20239_1993",0.236620639340803,1097
"20522_1993",0.689323847056669,1068
"20328_1993",1.21633349904821,891
"20436_1993",1.16553754842565,1112
"20257_1993",0.984852188325429,1094
"20258_1993",0.36560454160635,957
"20250_1993",0.291277826157492,1146
"20251_1993",1.59474059227611,1137
"20276_1993",1.88384539048477,1155
"20313_1993",0.893476710957077,1137
"20461_1993",0.346159015314644,1008
"20049_1993",0.826766297279409,945
"20283_1993",0.359809730394039,1107
"20512_1993",1.36653528738084,1004
"20402_1993",0.918379739921215,1051
"20022_1993",-0.165797109568446,1088
"20321_1993",0.907366223786755,1064
"20440_1993",0.382349189312308,1035
"20299_1993",0.246359445205169,1025
"20199_1993",0.52075003924615,873
"20078_1993",-0.353771337963972,1025
"20290_1993",0.158790100051397,941
"20101_1993",0.737827966819617,1060
"20463_1993",0.253552595106479,1011
"20542_1993",0.365741651428245,1019
"20168_1993",0.599137283632903,872
"20018_1993",0.54560780382841,1021
"20371_1993",1.09848917256851,887
"20514_1993",1.55045459356313,834
"20121_1993",0.134968280075742,942
"20268_1993",0.669899402192784,849
"20008_1993",NA,980
"20004_1993",NA,835
"20331_1993",0.368559280288491,956
"20335_1993",0.905489842676642,928
"20282_1993",0.802299331660425,961
"20155_1993",1.57817799383369,811
"20432_1993",0.273374365738919,913
"20355_1993",1.20709213763868,945
"20209_1993",0.564183666233115,783
"20086_1993",0.236634552428468,791
"20322_1993",1.05640807470037,848
"20122_1993",-0.115813071441743,816
"20186_1993",-0.41364177924923,695
"20204_1993",0.118664450703009,790
"20114_1993",0.113125652467483,814
"20422_1993",0.3297258076801,825
"20404_1993",NA,854
"20238_1993",0.738757839302392,810
"20316_1993",0.699374133538893,799
"20506_1993",0.216634484815848,824
"20140_1993",NA,729
"20411_1993",NA,699
"20228_1993",1.19797893967678,626
"20373_1993",0.776119797204043,743
"20215_1993",-0.509101908347642,662
"20370_1993",NA,763
"20096_1993",-0.744647038688612,698
"20320_1993",NA,707
"20224_1993",-0.35921836552034,752
"20423_1993",0.516093231583525,697
"20035_1993",-1.42269466552195,628
"20419_1993",-0.0765130306051936,693
"20138_1993",-0.244925260157452,704
"20120_1993",-0.330665535608846,724
"20311_1993",1.35624591340496,688
"20218_1993",1.0353981446868,547
"20416_1993",0.571833162254684,699
"20538_1993",0.983712346242316,655
"20443_1993",-0.42235973807549,558
"20246_1993",0.33672910045995,650
"20100_1993",0.763849784534995,639
"20093_1993",-0.542480224483888,633
"20172_1993",-0.283348482379705,527
"20464_1993",0.19581390792596,634
"20288_1993",0.557693996188527,504
"20074_1993",0.716929337940121,443
"20196_1993",-0.25030548237965,556
"20287_1993",0.095393596818808,534
"20383_1993",0.474093621165467,509
"20536_1993",NA,577
"20552_1993",NA,578
"20099_1993",1.48627587375338,431
"20119_1993",0.606184138023845,557
"20444_1993",1.16573613208977,557
"20524_1993",-0.0494506543362124,552
"20354_1993",1.54424516913741,556
"20376_1993",-0.265648913324494,492
"20223_1993",0.378912690912645,497
"20493_1993",-0.606519972592503,507
"20181_1993",NA,527
"20471_1993",0.331104621439554,521
"20332_1993",-0.0619666399178546,481
"20430_1993",0.709253440915462,361
"20408_1993",0.698474928023465,436
"20147_1993",0.400854590564884,444
"20151_1993",0.552645066414248,445
"20503_1993",NA,457
"20054_1993",0.0677839742876874,469
"20476_1993",NA,427
"20556_1993",0.480640549643545,407
"20191_1993",-0.298735015985232,388
"20442_1993",-0.210086704636838,410
"20267_1993",-0.488229649252058,341
"20521_1993",1.07722704208262,365
"20129_1993",-0.581423497320954,338
"20106_1993",0.123022703304537,335
"20479_1993",0.464407984022246,311
"20281_1993",0.0568750300200364,266
"20256_1993",0.237395972967659,271
"20341_1993",-0.348945810267189,251
"20518_1993",0.163133459593617,166
"20047_1993",-0.214418036048195,134
"20488_1993",0.334353285496975,139
"21114_1993",-1.77854976359816,1153636
"21156_1993",-0.860751062263299,175653
"21132_1993",-1.24887490302562,104481
"21119_1993",-0.619587612355858,42449
"21019_1993",-0.87279321880302,109131
"21140_1993",-1.01957891086948,84946
"21015_1993",-0.629728612848892,46136
"21041_1993",-1.20339443387057,34937
"21071_1993",-0.512467752682516,73000
"21174_1993",-0.981008134586741,67921
"21208_1993",0.0495113922591516,61268
"21197_1993",NA,61961
"21164_1993",-0.487801691102843,53504
"21085_1993",-0.633377128628538,64847
"21154_1993",-0.215081855136851,48784
"21074_1993",-0.677442589785361,45015
"21010_1993",1.31844859097941,39978
"21001_1993",-0.32700552228601,44744
"21053_1993",0.210637169380895,44432
"21004_1993",-0.208163297072896,34308
"21207_1993",0.491102118446284,44032
"21186_1993",0.363320562663539,43982
"21177_1993",0.424135656405112,34689
"21115_1993",0.290112784428158,32195
"21043_1993",1.10496709409743,38134
"21045_1993",-0.270361039201557,36146
"21110_1993",0.382202647494122,29640
"21034_1993",NA,23226
"21180_1993",-0.0775955891937257,27254
"21199_1993",0.630362578395699,26064
"21051_1993",-0.454531459407227,35731
"21003_1993",-0.33820376629366,30604
"21054_1993",0.502506352588942,15966
"21094_1993",-0.155659426769241,22782
"21143_1993",-0.507332736686664,19778
"21104_1993",NA,15578
"21142_1993",-0.06556067698017,22145
"21194_1993",0.194502147482126,24469
"21179_1993",NA,25888
"21069_1993",0.278599569068364,26472
"21083_1993",0.994563449804457,28338
"21076_1993",0.887208851743725,25262
"21017_1993",0.729490818632987,15631
"21106_1993",0.646421065467035,19026
"21172_1993",1.08617525287393,24431
"21118_1993",-0.400199089717756,17516
"21050_1993",1.55503001979211,17534
"21149_1993",NA,10573
"21205_1993",NA,16311
"21195_1993",1.97000945463477,18492
"21116_1993",1.14175572239647,17548
"21109_1993",1.00200372601678,17198
"21153_1993",-0.300391866023379,14831
"21090_1993",NA,12845
"21189_1993",-0.143909602441738,14891
"21047_1993",-0.242115902592776,19571
"21013_1993",NA,13149
"21169_1993",0.458004183698594,16511
"21161_1993",0.394506214098436,14062
"21217_1993",1.79450808828673,17390
"21065_1993",NA,14208
"21035_1993",-0.11863367131993,16936
"21048_1993",-0.229200442091372,16348
"21134_1993",-0.403140336876704,14505
"21058_1993",0.962411388235343,16742
"21183_1993",1.27306346143736,15615
"21212_1993",1.01954561467943,18673
"21111_1993",1.68036850393094,17529
"21099_1993",0.721997431729714,15571
"21072_1993",1.89366879763379,14031
"21108_1993",-0.442492062908186,12554
"21188_1993",0.307947614030273,15914
"21178_1993",1.5438306296951,16248
"21163_1993",-0.861775845111926,13385
"21067_1993",NA,13539
"21170_1993",0.0328256636244262,14398
"21214_1993",-0.0531302628515132,11641
"21064_1993",0.942383913975036,16298
"21049_1993",1.72200506203772,11203
"21211_1993",-0.792985687254249,11861
"21124_1993",NA,11229
"21044_1993",NA,13200
"21006_1993",1.79599369536935,11468
"21078_1993",1.26924904414211,9822
"21063_1993",-0.289522458709613,11932
"21144_1993",-0.346088449623983,7892
"21117_1993",-0.89917482625582,12579
"21026_1993",0.15107977050696,12358
"21036_1993",1.88916433641585,10600
"21145_1993",1.69408881860398,11096
"21213_1993",0.995681159296463,11320
"21089_1993",1.2847548966748,11993
"21086_1993",1.48619927350984,11912
"21129_1993",0.500686394113622,10063
"21087_1993",1.0353981446868,11249
"21075_1993",0.990764573069865,8223
"21175_1993",0.218362093514884,8907
"21202_1993",1.15648582706177,11125
"21157_1993",0.167145708152856,12166
"21107_1993",1.94516741690871,10810
"21061_1993",2.56341568482369,8906
"21102_1993",-0.120839423692656,9066
"21093_1993",0.277804269134767,11242
"21136_1993",-1.38536443319672,8126
"21022_1993",0.662384837624921,11183
"21152_1993",0.0559470330917334,10940
"21138_1993",NA,10022
"21167_1993",2.15794055507933,8750
"21008_1993",-0.0772156675691368,8080
"21191_1993",0.154800785785667,8764
"21091_1993",-1.27613566959408,7739
"21122_1993",-0.123139928158203,8110
"21040_1993",0.448975989976139,5732
"21038_1993",0.0560744921944876,5258
"21100_1993",0.729176626873415,9266
"21137_1993",0.327095703419784,7684
"21112_1993",0.358113863846949,9383
"21073_1993",0.15964497008186,9071
"21023_1993",0.593917084216259,7164
"21039_1993",1.10668549452468,8209
"21070_1993",0.632978159599396,8056
"21148_1993",0.324188534963898,7802
"21002_1993",0.739066462957925,8988
"21125_1993",-1.04930964006514,6068
"21209_1993",0.318623791105018,8260
"21166_1993",0.212627019271853,8581
"21016_1993",0.883076444949479,7378
"21082_1993",-0.370169549388835,5999
"21128_1993",0.146916986241738,5992
"21185_1993",0.192096018127315,7847
"21025_1993",0.881957321499824,6819
"21176_1993",-0.232371193693395,7685
"21151_1993",-0.308489396521602,6323
"21068_1993",1.92361864853516,7462
"21204_1993",0.341587323699293,6100
"21057_1993",0.842149911883893,6649
"21066_1993",0.547374519049873,7544
"21046_1993",NA,4560
"21158_1993",1.19073301690448,7224
"21060_1993",NA,4773
"21150_1993",0.820468086411305,6831
"21193_1993",0.550592142539098,5758
"21181_1993",-0.320530216327098,4768
"21020_1993",0.179320696487097,4877
"21084_1993",2.00785637856164,5164
"21155_1993",0.158492421982872,5380
"21168_1993",0.63931148078411,5149
"21012_1993",-0.261428099823984,6554
"21184_1993",1.97008216164616,5908
"21098_1993",0.136541924805422,5103
"21203_1993",0.423798868100933,4478
"21192_1993",0.661104293332095,5749
"21147_1993",0.861599560577329,5307
"21187_1993",1.18985075508831,5893
"21126_1993",NA,4687
"21103_1993",0.536167585713344,4718
"21113_1993",-0.0408933655331503,5639
"21173_1993",-0.771350274068782,4247
"21077_1993",2.19662411100303,4635
"21210_1993",0.739569497681338,4771
"21120_1993",1.36518795322657,3570
"21079_1993",-0.285881527306053,4092
"21092_1993",0.786542876351732,4607
"21159_1993",0.961017547056586,5148
"21027_1993",0.763872449695983,4971
"21055_1993",0.526635041235292,4683
"21014_1993",1.20374923431279,4249
"21182_1993",NA,3434
"21105_1993",0.116615662648106,4750
"21088_1993",0.838621879184356,4554
"21215_1993",0.315888099294529,3627
"21033_1993",0.770273771985651,4283
"21062_1993",0.263445219655954,4741
"21123_1993",1.83619254274129,4481
"21081_1993",0.950442395876657,4396
"21206_1993",0.478212206721135,4313
"21127_1993",0.62706288236464,4046
"21200_1993",0.787648193612974,4198
"21162_1993",1.29802735307233,3388
"21042_1993",0.474115918322122,3824
"21029_1993",1.02870651000475,3470
"21007_1993",0.947025637737778,3327
"21101_1993",0.535789044723165,3560
"21018_1993",0.127410547509035,3117
"21130_1993",-0.329267684670137,3571
"21141_1993",NA,3391
"21031_1993",0.165527273745207,3247
"21139_1993",0.258219012253024,3306
"21160_1993",-0.0408003877733052,3123
"21171_1993",-0.215278377082231,2541
"21201_1993",0.285991111182785,3137
"21005_1993",1.2826409433861,2987
"21080_1993",1.28365258776342,2459
"21216_1993",1.62109344558651,2866
"21096_1993",-0.242932857355217,2273
"21059_1993",NA,2406
"21028_1993",2.22623919242309,1972
"21009_1993",NA,2507
"21037_1993",-0.36962427214912,2228
"21097_1993",-0.287561176126183,1835
"21056_1993",-0.114771971607218,1808
"21032_1993",0.855753420691524,1913
"21011_1993",0.234020936424162,1714
"21196_1993",NA,1423
"21024_1993",-0.392022703868701,1259
"21198_1993",0.876427519720165,1242
"21021_1993",-0.0905126450481775,1189
"21052_1993",0.191841714541558,1128
"21121_1993",1.24097475240257,1186
"21165_1993",1.59678918915127,1120
"21190_1993",NA,1085
"21133_1993",NA,802
"21030_1993",2.10138256650587,885
"21146_1993",NA,691
"21131_1993",0.495039076822475,606
"21095_1993",-0.325333664943668,531
"21135_1993",0.245329407109433,688
"22014_1993",-1.84160372103321,515598
"22016_1993",-1.09241854841245,142883
"22006_1993",-1.03937733059207,52814
"22011_1993",-0.344607447373537,58450
"22017_1993",-0.800220279304139,42842
"22004_1993",0.268966742375485,48850
"22012_1993",-0.60828987820817,43517
"22005_1993",NA,40723
"22001_1993",0.54262802852151,48747
"22007_1993",-0.460173112698384,24035
"22008_1993",0.270633676289929,25693
"22018_1993",0.100197278074155,19181
"22002_1993",1.28901906939603,26429
"22009_1993",0.525419388395667,20666
"22013_1993",0.330040245680768,17093
"22010_1993",0.99131555676109,18489
"22003_1993",0.533822973229515,13167
"22015_1993",0.708358231532374,6958
"23005_1993",-1.72203006817967,248426
"23004_1993",-0.983559095134325,189692
"23008_1993",NA,NA
"23001_1993",-1.36872531154961,46961
"23002_1993",NA,52314
"23010_1993",NA,NA
"23006_1993",0.192634159302744,27748
"23009_1993",NA,NA
"23007_1993",NA,17332
"23003_1993",-1.29759256402258,9471
"24028_1993",-1.86977570018172,583483
"24035_1993",-1.58409316090009,146629
"24013_1993",-0.695654011139135,138208
"24037_1993",0.785030957171235,89794
"24020_1993",-1.01478034366949,73675
"24024_1993",-0.214077932200752,87918
"24021_1993",0.218331382450182,45462
"24054_1993",1.03435618890865,45990
"24050_1993",-0.0119901071588474,37059
"24003_1993",1.62241826584415,37130
"24010_1993",NA,35729
"24011_1993",-0.374396444557967,36880
"24016_1993",-0.332294486789496,38615
"24032_1993",0.225086861440275,36749
"24040_1993",-0.299156112946618,35565
"24049_1993",0.247776359059175,30904
"24053_1993",0.492129209560397,30503
"24025_1993",-0.147368907252173,23044
"24057_1993",NA,NA
"24036_1993",0.12300734006173,26517
"24017_1993",0.772014987473545,27040
"24055_1993",0.350991824500304,20372
"24029_1993",1.40943368643154,22512
"24008_1993",-0.537220723238458,21850
"24058_1993",NA,NA
"24015_1993",NA,21163
"24012_1993",0.996234140516621,19129
"24022_1993",0.8240970006227,18940
"24041_1993",1.36172275174378,16031
"24001_1993",0.484857813875141,18491
"24007_1993",-0.192684945638229,16418
"24005_1993",-0.856710207022076,18551
"24023_1993",NA,17413
"24046_1993",0.256129271863554,13764
"24014_1993",1.14461776676863,16520
"24038_1993",0.960095715123033,15949
"24018_1993",0.873302696615863,12425
"24051_1993",NA,15495
"24039_1993",1.3463929175959,12671
"24056_1993",0.181882012852498,12847
"24042_1993",NA,12712
"24034_1993",0.463729161196082,12981
"24045_1993",0.402841980858886,14501
"24033_1993",0.312025135563155,12768
"24052_1993",0.117649361316377,12206
"24047_1993",0.480688905117124,11359
"24006_1993",0.512089752042429,11474
"24031_1993",2.05476134819808,10408
"24027_1993",NA,11024
"24043_1993",0.267340075636444,9386
"24026_1993",1.60285654489192,8299
"24002_1993",0.49175869100808,8794
"24044_1993",0.325526430126916,8097
"24030_1993",NA,7691
"24019_1993",0.959932526017911,7500
"24004_1993",0.155445012444604,5673
"24048_1993",-0.733747067481117,5209
"24009_1993",-0.551472797937397,2731
"25006_1993",-1.34827536276986,656522
"25012_1993",-1.7507801622182,339637
"25001_1993",-1.35005412442584,325186
"25011_1993",-0.813402499690529,261770
"25018_1993",-0.609552643961596,132208
