"muniYear","IM","POB_TOT"
"05033_2015",-0.823,106142
"05033_2010",-0.902,102650
"05017_2005",-1.076,99707
"05033_1990",-0.798,99165
"05025_1990",-1.86,98185
"05033_2005",-0.935,93677
"05027_2015",-1.73,92828
"05017_2000",-1.147,92029
"05033_1995",-0.66,91421
"05033_2000",-0.989,88343
"05017_1995",-0.679,88235
"05017_1990",-0.884,86398
"05002_1995",-1.183,81602
"05010_2015",-1.663,80991
"05027_2010",-1.705,75461
"05010_2010",-1.639,75215
"05010_2005",-1.612,70160
"05020_2015",-1.34,69102
"05020_2010",-1.391,66834
"05010_2000",-1.717,66579
"05020_1990",-1.566,65863
"05010_1995",-1.364,63847
"05028_2015",-1.678,63522
"05020_1995",-1.157,62990
"05020_2000",-1.567,62773
"05020_2005",-1.43,62710
"05010_1990",-1.734,61450
"05028_2010",-1.742,60847
"05009_2015",-1.021,58360
"05027_2005",-1.67,56708
"05002_1990",-1.585,56336
"05009_2010",-1.035,55676
"05028_2005",-1.694,53042
"05028_2000",-1.776,52379
"05009_2005",-1.083,51528
"05028_1995",-1.514,51129
"05009_1990",-0.937,50981
"05009_1995",-0.768,47510
"05028_1990",-1.8,47030
"05009_2000",-1.133,46452
"05024_2010",-1.017,45401
"05024_2015",-0.972,44799
"05024_2005",-1.115,44715
"05024_2000",-1.117,43339
"05024_1995",-0.837,43303
"05032_2015",-1.61,43232
"05032_2010",-1.7,41649
"05032_1995",-1.539,40731
"05032_1990",-1.865,40231
"05032_2000",-1.837,40138
"05032_2005",-1.7,40115
"05027_2000",-1.671,39853
"05024_1990",-0.989,39534
"05027_1995",-1.049,36440
"05022_2015",-1.401,30698
"05027_1990",-1.038,28246
"05006_2015",-1.484,28068
"05022_2010",-1.463,27928
"05006_2010",-1.453,25892
"05022_2005",-1.5,25856
"05006_2005",-1.466,23871
"05031_2015",-1.76,23587
"05004_2015",-0.849,23271
"05022_2000",-1.63,23019
"05003_2010",-1.638,22675
"05003_2015",-1.6,22654
"05004_2010",-0.72,22544
"05006_2000",-1.504,22530
"05031_2010",-1.686,22149
"05006_1995",-0.945,21924
"05036_2015",-0.38,21549
"05006_1990",-1.417,21356
"05036_2010",-0.525,21319
"05036_1990",-0.224,21238
"05003_2000",-1.785,20943
"05022_1995",-1.252,20502
"05031_1990",-1.721,20216
"05003_2005",-1.712,20153
"05031_2000",-1.761,20046
"05031_1995",-1.356,20034
"05003_1995",-1.399,19917
"05004_2005",-0.669,19622
"05031_2005",-1.682,19620
"05036_1995",-0.314,19510
"05004_2000",-0.767,19374
"05036_2005",-0.537,19328
"05036_2000",-0.523,18969
"05004_1995",-0.44,18907
"05003_1990",-1.773,18486
"05004_1990",-0.495,17414
"05022_1990",-1.555,16915
"05007_2015",-0.992,13546
"05023_1995",-0.53,13389
"05038_2015",-1.261,13257
"05007_2010",-0.912,13013
"05007_1995",-0.658,12899
"05038_2010",-1.227,12702
"05038_2000",-1.45,12664
"05011_2015",-0.624,12471
"05038_2005",-1.319,12411
"05038_1995",-1.058,12403
"05007_1990",-0.918,12302
"05007_2005",-0.931,12220
"05007_2000",-1.04,12154
"05023_2000",-0.687,12053
"05011_1990",-0.283,11966
"05011_1995",-0.29,11913
"05011_2010",-0.432,11682
"05023_2015",-0.757,11671
"05011_2000",-0.462,11316
"05011_2005",-0.377,11284
"05038_1990",-1.386,11184
"05023_2010",-0.633,10991
"05014_2015",-0.448,10243
"05023_2005",-0.659,10183
"05014_2010",-0.263,9935
"05034_1990",-1.008,9793
"05014_2005",-0.691,9768
"05014_2000",-0.598,9724
"05014_1995",-0.051,9328
"05019_2015",-1.427,8599
"05014_1990",-0.425,8253
"05019_2010",-1.523,8207
"05023_1990",-0.131,7857
"05019_2000",-1.594,7263
"05019_2005",-1.567,7221
"05034_2015",-1.014,6988
"05019_1990",-1.512,6647
"05019_1995",-1.247,6642
"05021_2015",-1.106,6614
"05034_1995",-1.077,6594
"05034_2010",-1.041,6375
"05037_2015",-1.186,6352
"05021_2010",-0.983,6335
"05037_2010",-1.286,6289
"05037_1995",-0.941,6228
"05021_1995",-0.822,6187
"05037_2000",-1.02,6159
"05037_2005",-1.313,6138
"05034_2000",-1.189,6023
"05021_2000",-1.172,5946
"05037_1990",-0.89,5866
"05021_2005",-1.001,5822
"05021_1990",-1.095,5515
"05034_2005",-1.061,5245
"05026_1990",-0.843,4041
"05026_1995",-0.598,3613
"05026_2000",-0.843,3608
"05026_2010",-0.989,3473
"05026_2005",-0.698,3379
