"muniYear","state","muni","year","Winner2","PAN","PRI","PRD","nulos","noreg","total","win_state","wintop_state","win","win_top","prevyear","difY","inc","inc_top","conco","PRI_ofi","PAN_ofi","PRD_ofi","edo_year","PAN.s","PRI.s","PRD.s","inc.share","inc.share.lag","inc.ch","agua_lag","dren_lag","elec_lag","tot_del_lag","hom_lag","IM","POB_TOT","ch.agua","ch.dren","ch.elec","ch.del","ch.hom","alt","edo.year"
"01001_1995","01",1001,1995,"PAN",92863,56775,13814,3810,0,174344,"PRI","PRI","PAN","PAN",1992,3,"PRI","PRI",0,1,0,0,"01_1995",0.532642362226403,0.325649291056761,0.079234157757078,32.5649291056761,66.9379679221899,-34.3730388165138,127299,48,139586,NA,NA,-1.735,582827,6.85944115821804,0,7.00213488458728,NA,NA,1,"01_1995"
"01001_1998","01",1001,1998,"PAN",130616,88917,17014,3707,35,243515,"PRI","PRI","PAN","PAN",1995,3,"PAN","PAN",0,1,0,0,"01_1998",0.536377635874587,0.365139724452292,0.0698683859310515,53.6377635874587,32.5649291056761,21.0728344817825,135411,44,160811,NA,NA,-1.81536544350787,618461,-1.24214428665323,20.4545454545455,5.30685089950313,NA,NA,0,"01_1998"
"01001_2001","01",1001,2001,"PAN",79398,54100,11046,15746,306,159520,"PAN","PAN","PAN","PAN",1998,3,"PAN","PAN",1,0,1,0,"01_2001",0.497730692076229,0.339142427281846,0.0692452357071214,49.7730692076229,53.6377635874587,-3.86469437983581,143889,61,188506,9440,78,-1.86293069648294,658609,5.22972569133153,0,2.66622813066958,4.90466101694916,20.5128205128205,0,"01_2001"
"01001_2004","01",1001,2004,"PAN",111892,107671,9952,5274,98,229515,"PAN","PAN","PAN","PAN",2001,3,"PAN","PAN",1,0,1,0,"01_2004",0.487514977234603,0.46912402239505,0.0433610003703462,48.7514977234603,49.7730692076229,-1.02157148416253,181092,61,213821,10603,NA,-1.83893099537606,706366,0,0,4.83441757357789,6.62076770725267,NA,0,"01_2004"
"01001_2007","01",1001,2007,"PRI",63535,69266,8771,7896,380,201006,"PAN","PAN","PRI","PRI",2004,3,"PAN","PAN",0,0,1,0,"01_2007",0.316085091987304,0.344596678706108,0.0436355133677602,31.6085091987304,48.7514977234603,-17.14298852473,NA,NA,248495,11588,108,-1.84497868891312,668981,NA,NA,3.44272520573854,31.1960648947186,-0.925925925925912,1,"01_2007"
"01001_2010","01",1001,2010,"PRI_PVEM_PNA",93845,150554,4706,6497,389,266832,"PAN","PAN","PRI","PRI",2007,3,"PRI","PRI",0,0,1,0,"01_2010",0.351700695568747,0.56422767883912,0.0176365653294957,56.422767883912,31.6085091987304,24.8142586851816,230131,67,265202,16701,159,-1.768,797010,1.94193741825307,0,2.71340336799874,-5.24519489850907,6.28930817610062,0,"01_2010"
"01001_2013","01",1001,2013,"PAN_PRD",0,88095,0,10267,592,239292,"PRI_PVEM_PNA","PRI","PAN","PAN",2010,3,"PRI","PRI",0,1,0,0,"01_2013",0,0.368148538187654,0,36.8148538187654,56.422767883912,-19.6079140651466,NA,76,285419,NA,NA,-1.81196097424889,681509,NA,3.94736842105262,2.9770267571535,NA,NA,1,"01_2013"
"01002_1995","01",1002,1995,"PRI",2699,5612,609,253,0,9278,"PRI","PRI","PRI","PRI",1992,3,"PRI","PRI",1,1,0,0,"01_1995",0.290903211899116,0.604871739599051,0.0656391463677517,60.4871739599051,67.6145535825158,-7.12737962261069,5926,48,5064,NA,NA,-0.709,35762,7.45865676679042,0,19.2930489731438,NA,NA,0,"01_1995"
"01002_1998","01",1002,1998,"PAN",5826,5519,668,324,2,12262,"PRI","PRI","PAN","PAN",1995,3,"PRI","PRI",0,1,0,0,"01_1998",0.47512640678519,0.450089708041103,0.0544772467786658,45.0089708041103,60.4871739599051,-15.4782031557949,6488,44,7233,NA,NA,-0.631111657609903,36950,1.06350184956844,11.3636363636364,3.27664869348817,NA,NA,1,"01_1998"
"01002_2001","01",1002,2001,"PRI",3572,4064,510,1194,2,11906,"PAN","PAN","PRI","PRI",1998,3,"PAN","PAN",0,1,0,0,"01_2001",0.300016798252982,0.341340500587939,0.0428355451033093,30.0016798252982,45.0089708041103,-15.0072909788121,6728,50,8550,109,14,-0.591028761398231,38304,0,0,6.08187134502924,-72.4770642201835,-92.8571428571429,1,"01_2001"
"01002_2004","01",1002,2004,"PAN",6828,3752,3879,419,7,14459,"PAN","PAN","PAN","PAN",2001,3,"PRI","PRI",1,0,1,0,"01_2004",0.472231827927243,0.259492357701086,0.268275814371672,25.9492357701086,30.0016798252982,-4.05244405518959,6823,52,9924,90,NA,-0.612626700506768,39974,0,0,3.69810560257962,NA,NA,1,"01_2004"
"01002_2007","01",1002,2007,"PRI",5544,7011,269,383,9,15188,"PAN","PAN","PRI","PRI",2004,3,"PAN","PAN",0,1,0,0,"01_2007",0.365025019752436,0.461614432446668,0.0177113510666316,36.5025019752436,25.9492357701086,10.553266205135,NA,NA,11175,197,11,-0.519623241422715,39542,NA,NA,3.29306487695748,3.0456852791878,45.4545454545455,1,"01_2007"
"01002_2010","01",1002,2010,"PRI_PVEM_PNA",7517,8274,232,493,20,17180,"PAN","PAN","PRI","PRI",2007,3,"PRI","PRI",0,0,1,0,"01_2010",0.437543655413271,0.481606519208382,0.0135040745052386,48.1606519208382,36.5025019752436,11.6581499455946,1000,66,11628,275,12,-0.463,45492,1.20000000000001,0,5.9597523219814,-5.09090909090908,-16.6666666666667,0,"01_2010"
"01003_1995","01",1003,1995,"PAN",7373,5628,296,365,0,13583,"PRI","PRI","PAN","PAN",1992,3,"PRI","PRI",0,1,0,0,"01_1995",0.542810866524332,0.414341456232055,0.0217919458146212,41.4341456232055,52.2395971375563,-10.8054515143508,9069,39,11429,NA,NA,-1.105,51658,4.71937369059433,0,9.86088021699187,NA,NA,1,"01_1995"
"01003_1998","01",1003,1998,"PAN",7674,6501,1430,430,6,16085,"PRI","PRI","PAN","PAN",1995,3,"PAN","PAN",0,1,0,0,"01_1998",0.477090456947467,0.404165371464097,0.0889027043829655,47.7090456947467,41.4341456232055,6.27490007154119,9735,32,13247,NA,NA,-0.917819802748351,51437,NA,25,1.81927983694421,NA,NA,0,"01_1998"
"01003_2001","01",1003,2001,"PRI",5119,7196,1573,309,4,15829,"PAN","PAN","PRI","PRI",1998,3,"PAN","PAN",0,0,1,0,"01_2001",0.32339377092678,0.454608629730242,0.0993745656706046,32.339377092678,47.7090456947467,-15.3696686020687,10258,37,14294,242,11,-0.82341408950572,51067,0,0,2.93129984608927,-25.6198347107438,-18.1818181818182,1,"01_2001"
"01003_2004","01",1003,2004,"PAN",7443,3319,4235,411,2,14997,"PAN","PAN","PAN","PAN",2001,3,"PRI","PRI",1,0,1,0,"01_2004",0.49629925985197,0.221310928852437,0.282389811295592,22.1310928852437,32.339377092678,-10.2082842074343,11394,41,15777,170,NA,-0.861808182594951,50403,7.75846936984377,0,2.56068961145972,32.9411764705882,NA,1,"01_2004"
"01003_2007","01",1003,2007,"PAN_PNA",5537,4875,4837,482,22,16400,"PAN","PAN","PAN","PAN",2004,3,"PAN","PAN",1,1,0,0,"01_2007",0.337621951219512,0.297256097560976,0.294939024390244,33.7621951219512,22.1310928852437,11.6311022367075,NA,NA,17024,231,11,-0.764128101151565,52870,NA,NA,2.73143796992481,-5.19480519480517,18.1818181818182,0,"01_2007"
"01003_2010","01",1003,2010,"PRI_PVEM_PNA",4991,7042,4334,530,25,18008,"PAN","PAN","PRI","PRI",2007,3,"PAN","PAN",0,0,1,0,"01_2010",0.277154597956464,0.391048422923145,0.240670812972012,27.7154597956464,33.7621951219512,-6.04673532630484,NA,49,18024,263,4,-0.754,54136,NA,0,2.47447847314689,32.6996197718631,225,1,"01_2010"
"01003_2013","01",1003,2013,"PAN_PRD",0,6730,0,988,32,20854,"PRI_PVEM_PNA","PRI","PAN","PAN",2010,3,"PRI","PRI",0,0,1,0,"01_2013",0,0.322719861896998,0,32.2719861896998,27.7154597956464,4.55652639405344,NA,53,19462,NA,NA,-0.774303638889771,52370,NA,0,1.99876682766418,NA,NA,1,"01_2013"
"01004_1995","01",1004,1995,"PAN",2120,2115,23,64,0,4454,"PRI","PRI","PAN","PAN",1992,3,"PRI","PRI",0,1,0,0,"01_1995",0.475976650202066,0.47485406376291,0.00516389762011675,47.485406376291,83.8329764453961,-36.3475700691052,1880,11,1510,NA,NA,-0.772,12136,7.34042553191488,0,7.94701986754967,NA,NA,1,"01_1995"
"01004_1998","01",1004,1998,"PRI",2260,2574,134,125,0,5142,"PRI","PRI","PRI","PRI",1995,3,"PAN","PAN",1,1,0,0,"01_1998",0.43951769739401,0.500583430571762,0.0260598988720342,43.951769739401,47.485406376291,-3.53363663688997,2407,10,967,NA,NA,-0.77139984446555,12424,26.6306605733278,10,38.4694932781799,NA,NA,1,"01_1998"
"01004_2001","01",1004,2001,"PRI",2078,2633,238,200,1,5314,"PAN","PAN","PRI","PRI",1998,3,"PRI","PRI",0,0,1,0,"01_2001",0.391042529168235,0.495483628152051,0.0447873541588257,49.5483628152051,43.951769739401,5.59659307580411,3092,12,2179,20,3,-0.766139092287506,12826,0,0,6.2413951353832,-70,-33.3333333333333,0,"01_2001"
