"muniYear","state","muni","year","Winner2","PAN","PRI","PRD","nulos","noreg","total","win_state","wintop_state","win","win_top","prevyear","difY","inc","inc_top","conco","PRI_ofi","PAN_ofi","PRD_ofi","edo_year","PAN.s","PRI.s","PRD.s","inc.share","inc.share.lag","inc.ch","IM","POB_TOT","ch.agua","ch.dren","ch.elec","ch.del","ch.hom","alt"
"01003_2007",1,1003,2007,"PAN_PNA",5537,4875,4837,482,22,16400,"PAN","PAN","PAN","PAN",2004,3,"PAN","PAN",1,1,0,0,"01_2007",0.337621951219512,0.297256097560976,0.294939024390244,33.7621951219512,22.1310928852437,11.6311022367075,-0.764128101151565,52870,-13.2116107604494,NA,2.950499606711,-8.24734376088542,71.5315384615385,0
"01003_2010",1,1003,2010,"PRI_PVEM_PNA",4991,7042,4334,530,25,18008,"PAN","PAN","PRI","PRI",2007,3,"PAN","PAN",0,0,1,0,"01_2010",0.277154597956464,0.391048422923145,0.240670812972012,27.7154597956464,33.7621951219512,-6.04673532630484,-0.754,54136,20.6782137387502,NA,3.04394522159499,35.7466847102397,45.864,1
"01003_2013",1,1003,2013,"PAN_PRD",0,6730,0,988,32,20854,"PRI_PVEM_PNA","PRI","PAN","PAN",2010,3,"PRI","PRI",0,0,1,0,"01_2013",0,0.322719861896998,0,32.2719861896998,27.7154597956464,4.55652639405344,-0.774303638889771,52370,NA,10.5631240398047,9.99204045013436,NA,NA,1
"01004_1995",1,1004,1995,"PAN",2120,2115,23,64,0,4454,"PRI","PRI","PAN","PAN",1992,3,"PRI","PRI",0,1,0,0,"01_1995",0.475976650202066,0.47485406376291,0.00516389762011675,47.485406376291,83.8329764453961,-36.3475700691052,-0.772,12136,NA,NA,NA,NA,NA,1
"01004_1998",1,1004,1998,"PRI",2260,2574,134,125,0,5142,"PRI","PRI","PRI","PRI",1995,3,"PAN","PAN",1,1,0,0,"01_1998",0.43951769739401,0.500583430571762,0.0260598988720342,43.951769739401,47.485406376291,-3.53363663688997,-0.77139984446555,12424,32.2214811316021,-2.37310481212919,-24.6214793456091,NA,NA,1
"01004_2001",1,1004,2001,"PRI",2078,2633,238,200,1,5314,"PAN","PAN","PRI","PRI",1998,3,"PRI","PRI",0,0,1,0,"01_2001",0.391042529168235,0.495483628152051,0.0447873541588257,49.5483628152051,43.951769739401,5.59659307580411,-0.766139092287506,12826,-1.76660122002317,5.36729984975316,40.2883084227698,NA,NA,0
"01004_2004",1,1004,2004,"PAN",2544,1935,1095,128,3,5574,"PAN","PAN","PAN","PAN",2001,3,"PRI","PRI",1,1,0,0,"01_2004",0.456404736275565,0.347147470398278,0.196447793326157,34.7147470398278,49.5483628152051,-14.8336157753773,-0.751739476288035,13466,-7.4217936906988,10.0086877102314,-29.0767583338378,NA,NA,1
"01004_2007",1,1004,2007,"PRI",1750,2501,219,100,5,6006,"PAN","PAN","PRI","PRI",2004,3,"PAN","PAN",0,1,0,0,"01_2007",0.291375291375291,0.416416916416916,0.0364635364635365,29.1375291375291,34.7147470398278,-5.57721790229863,-0.728376859243566,13105,17.7806697001957,NA,14.7665092791837,NA,NA,1
"01004_2010",1,1004,2010,"PRI_PVEM_PNA",1378,2810,86,150,4,5530,"PAN","PAN","PRI","PRI",2007,3,"PRI","PRI",0,0,1,0,"01_2010",0.249186256781193,0.508137432188065,0.0155515370705244,50.8137432188065,29.1375291375291,21.6762140812774,-0.648,15042,-8.73153360407142,NA,19.6946537969066,62.6093441087718,88.7185,0
"01004_2013",1,1004,2013,"PRI_PVEM",0,3539,0,103,2,7327,"PRI_PVEM_PNA","PRI","PRI","PRI",2010,3,"PRI","PRI",1,1,0,0,"01_2013",0,0.483008052408899,0,48.3008052408899,50.8137432188065,-2.51293797791665,-0.789414887490715,12886,NA,23.3507582278392,20.6109543860223,NA,NA,0
